message,intent
Electricity has gone after earthquake in Almora.,power_failure
People missing after fire in Uttarkashi.,missing_person
"Due to fire, situation is worsening in Nainital. Need aid!",request_medical_aid
Water and food are running out after cloudburst hit Almora.,request_supplies
Electricity has gone after earthquake in Tehri.,power_failure
"We are trapped in a flood in Pithoragarh, send help!",request_rescue
We need medical assistance due to fire in Chamoli.,request_medical_aid
Water and food are running out after drought hit Rudraprayag.,request_supplies
We need to evacuate urgently due to flood in Dehradun.,evacuation_request
Help! Our house is stuck due to a earthquake in Tehri.,damage_report
Help! Our house is stuck due to a earthquake in Nainital.,damage_report
Water and food are running out after flood hit Tehri.,request_supplies
"Severe drought has affected us in Almora, need urgent help!",damage_report
"Due to flood, situation is worsening in Pithoragarh. Need aid!",power_failure
Electricity has gone after cloudburst in Bageshwar.,power_failure
"Severe cloudburst has affected us in Pithoragarh, need urgent help!",evacuation_request
"Severe fire has affected us in Uttarkashi, need urgent help!",missing_person
People missing after drought in Chamoli.,missing_person
Water and food are running out after hailstorm hit Rudraprayag.,request_supplies
We need medical assistance due to cloudburst in Nainital.,request_medical_aid
"Severe cloudburst has affected us in Almora, need urgent help!",power_failure
We need to evacuate urgently due to hailstorm in Almora.,evacuation_request
People missing after drought in Nainital.,missing_person
"There is a fire in Chamoli, please assist us.",request_rescue
We need medical assistance due to landslide in Pithoragarh.,request_medical_aid
"Severe earthquake has affected us in Uttarkashi, need urgent help!",request_supplies
"Due to flood, situation is worsening in Tehri. Need aid!",evacuation_request
We need to evacuate urgently due to hailstorm in Dehradun.,evacuation_request
"Severe earthquake has affected us in Chamoli, need urgent help!",request_medical_aid
"We are trapped in a cloudburst in Bageshwar, send help!",request_rescue
We need medical assistance due to cloudburst in Dehradun.,request_medical_aid
Water and food are running out after landslide hit Nainital.,request_supplies
"Severe fire has affected us in Chamoli, need urgent help!",request_information
Electricity has gone after landslide in Pithoragarh.,power_failure
We need medical assistance due to drought in Rudraprayag.,request_medical_aid
"Severe cloudburst has affected us in Nainital, need urgent help!",damage_report
Water and food are running out after flood hit Pithoragarh.,request_supplies
"Due to drought, situation is worsening in Chamoli. Need aid!",power_failure
People missing after cloudburst in Pithoragarh.,missing_person
"Severe drought has affected us in Rudraprayag, need urgent help!",power_failure
We need to evacuate urgently due to cloudburst in Tehri.,evacuation_request
Electricity has gone after landslide in Chamoli.,power_failure
People missing after drought in Rudraprayag.,missing_person
"Severe cloudburst has affected us in Pauri, need urgent help!",request_rescue
Electricity has gone after drought in Bageshwar.,power_failure
